"","site","station","sample_period","light_attenuation_av","depth","secchi","temp","salinity","do","pull_id","slabund_id","species_common","species_scientific","notes.x","av_sl","median_sl","sd_sl","max_sl","min_sl","av_tl","median_tl","sd_tl","max_tl","min_tl","av_cw","median_cw","sd_cw","max_cw","min_cw","date","substrate","start_lat","start_long","end_lat","end_long","macro_weight","species_abundance","species_weight","notes.y","station_seagrass_richness","station_leaf_mlength","station_sd_mcanopy","station_se_mcanopy","station_leaf_width","station_leaf_sd_width","station_lps","station_lps_sd","station_la","station_la_sd","station_lai","station_lai_sd","station_lai_se","station_shoots","station_sd_shoots","station_shoots_m","station_sd_shoots_m","station_se_shoots_m","station_above_wt_m","station_sd_above_wt_m","station_ep_wt_gg","station_sd_ep_wt_gg","station_below_wt_m","station_sd_below_wt_m","tt_stationsp_leaf_mlength","tt_stationsp_sd_mcanopy","tt_stationsp_se_mcanopy","tt_stationsp_leaf_width","tt_stationsp_leaf_sd_width","tt_stationsp_lps","tt_stationsp_lps_sd","tt_stationsp_la","tt_stationsp_la_sd","tt_stationsp_lai","tt_stationsp_lai_sd","tt_stationsp_lai_se","tt_stationsp_shoots","tt_stationsp_sd_shoots","tt_stationsp_shoots_m","tt_stationsp_sd_shoots_m","tt_stationsp_se_shoots_m","tt_station_above_wt_m","tt_station_sd_above_wt_m","tt_station_ep_wt_gg","tt_station_sd_ep_wt_gg","tt_station_below_wt_m","tt_station_sd_below_wt_m","spp_x","hd_stationsp_leaf_mlength","hd_stationsp_sd_mcanopy","hd_stationsp_se_mcanopy","hd_stationsp_leaf_width","hd_stationsp_leaf_sd_width","hd_stationsp_lps","hd_stationsp_lps_sd","hd_stationsp_la","hd_stationsp_la_sd","hd_stationsp_lai","hd_stationsp_lai_sd","hd_stationsp_lai_se","hd_stationsp_shoots","hd_stationsp_sd_shoots","hd_stationsp_shoots_m","hd_stationsp_sd_shoots_m","hd_stationsp_se_shoots_m","hd_station_above_wt_m","hd_station_sd_above_wt_m","hd_station_ep_wt_gg","hd_station_sd_ep_wt_gg","hd_station_below_wt_m","hd_station_sd_below_wt_m","he_stationsp_leaf_mlength","he_stationsp_sd_mcanopy","he_stationsp_se_mcanopy","he_stationsp_leaf_width","he_stationsp_leaf_sd_width","he_stationsp_lps","he_stationsp_lps_sd","he_stationsp_la","he_stationsp_la_sd","he_stationsp_lai","he_stationsp_lai_sd","he_stationsp_lai_se","he_stationsp_shoots","he_stationsp_sd_shoots","he_stationsp_shoots_m","he_stationsp_sd_shoots_m","he_stationsp_se_shoots_m","he_station_above_wt_m","he_station_sd_above_wt_m","he_station_ep_wt_gg","he_station_sd_ep_wt_gg","he_station_below_wt_m","he_station_sd_below_wt_m","spp_y","hw_stationsp_leaf_mlength","hw_stationsp_sd_mcanopy","hw_stationsp_se_mcanopy","hw_stationsp_leaf_width","hw_stationsp_leaf_sd_width","hw_stationsp_lps","hw_stationsp_lps_sd","hw_stationsp_la","hw_stationsp_la_sd","hw_stationsp_lai","hw_stationsp_lai_sd","hw_stationsp_lai_se","hw_stationsp_shoots","hw_stationsp_sd_shoots","hw_stationsp_shoots_m","hw_stationsp_sd_shoots_m","hw_stationsp_se_shoots_m","hw_station_above_wt_m","hw_station_sd_above_wt_m","hw_station_ep_wt_gg","hw_station_sd_ep_wt_gg","hw_station_below_wt_m","hw_station_sd_below_wt_m","rm_stationsp_leaf_mlength","rm_stationsp_sd_mcanopy","rm_stationsp_se_mcanopy","rm_stationsp_leaf_width","rm_stationsp_leaf_sd_width","rm_stationsp_lps","rm_stationsp_lps_sd","rm_stationsp_la","rm_stationsp_la_sd","rm_stationsp_lai","rm_stationsp_lai_sd","rm_stationsp_lai_se","rm_stationsp_shoots","rm_stationsp_sd_shoots","rm_stationsp_shoots_m","rm_stationsp_sd_shoots_m","rm_stationsp_se_shoots_m","rm_station_above_wt_m","rm_station_sd_above_wt_m","rm_station_ep_wt_gg","rm_station_sd_ep_wt_gg","rm_station_below_wt_m","rm_station_sd_below_wt_m","sf_stationsp_leaf_mlength","sf_stationsp_sd_mcanopy","sf_stationsp_se_mcanopy","sf_stationsp_leaf_width","sf_stationsp_leaf_sd_width","sf_stationsp_lps","sf_stationsp_lps_sd","sf_stationsp_la","sf_stationsp_la_sd","sf_stationsp_lai","sf_stationsp_lai_sd","sf_stationsp_lai_se","sf_stationsp_shoots","sf_stationsp_sd_shoots","sf_stationsp_shoots_m","sf_stationsp_sd_shoots_m","sf_stationsp_se_shoots_m","sf_station_above_wt_m","sf_station_sd_above_wt_m","sf_station_ep_wt_gg","sf_station_sd_ep_wt_gg","sf_station_below_wt_m","sf_station_sd_below_wt_m"
"1","LA","bare1","early",0.217185373275627,85,">depth",30.3,16.6,9.7,"600052","700306","lefteye flounder","Bothidae","",16,16,NA,16,16,21,21,NA,21,21,NA,NA,NA,NA,NA,"6/8/2018","bare",29.78201,-88.88092,NA,NA,1.027,1,0.0828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LA","bare1","early",0.217185373275627,85,">depth",30.3,16.6,9.7,"600052","700307","gulf pipefish","Syngnathus scovelli","",93,93,NA,93,93,98,98,NA,98,98,NA,NA,NA,NA,NA,"6/8/2018","bare",29.78201,-88.88092,NA,NA,1.027,1,0.6125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LA","bare1","early",0.217185373275627,85,">depth",30.3,16.6,9.7,"600052","700308","grass shrimp","Palaemon sp","",NA,NA,NA,NA,NA,5.99999985,5.99999985,NA,5.99999985,5.99999985,NA,NA,NA,NA,NA,"6/8/2018","bare",29.78201,-88.88092,NA,NA,1.027,1,0.0052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LA","bare1","early",0.217185373275627,85,">depth",30.3,16.6,9.7,"600052","700309","buzzsaw shrimp","Latreutes parvulus","",NA,NA,NA,NA,NA,9.63384662,9.63384662,NA,9.63384662,9.63384662,NA,NA,NA,NA,NA,"6/8/2018","bare",29.78201,-88.88092,NA,NA,1.027,1,0.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LA","bare2","early",1.18375610874656,100,"65",30.1,16.8,11.1,"600053","700304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/8/2018","bare",29.81042,-88.86894,NA,NA,0,0,0,"no animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LA","bare3","early",0.359855715845067,65,">depth",30.3,20.4,7.4,"600050","700305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6/15/2018","bare",29.83839,-88.84535,29.83853,-88.84534,3.4561,0,0,"no animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LA","bareLA45","early",0.556503889658622,120,"100",30.1,18.6,7,"600051","700303","brown shrimp","Penaeus aztecus","",NA,NA,NA,NA,NA,9.3,9.3,NA,9.3,9.3,NA,NA,NA,NA,NA,"6/15/2018","bare",29.86002,-88.84438,29.86004,-88.84435,0,1,0.0168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LA","LA67","early",0.663153159989969,155,"100",18.6,16.5,7.5,"600037","700287","pinfish","Lagodon rhomboides","",46,46,2.82842712474619,48,44,58,58,4.24264068711928,61,55,NA,NA,NA,NA,NA,"6/6/2018","thalassia",29.89764,-88.84137,29.89768,-88.84151,35.22,2,6.4646,NA,3,410.170212765957,123.688657283604,17.852919894598,2.51553866936846,1.8516401995451,1.89583333333333,1.58771324027147,0.0252932291666667,0.00380491172061645,1.43130398144737,0.215313958486219,0.0310778929730755,15.3333333333333,19.2959408512084,867.689171052253,1091.92688620815,630.424281687666,157.651577256968,63.596594414417,0.222615828950785,0.209508066951747,0,0,429.3,124.291153545509,27.1225533016987,4.44842592592593,0.935062826644319,2.80952380952381,1.83354977077383,0.0217123333333333,0.00648153428852562,1.22866672901806,0.36677981177984,0.0800379167077511,6.66666666666667,5.85946527708232,377.256161327066,331.577906679196,191.436593678567,140.118597159292,39.6841643623011,0.0777858227499144,0.0851891501416356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,117.758495056173,23.0943409301056,1,0,1.23076923076923,0.86291099460801,0.005143,0,0.291034265655765,0,0,26,NA,1471.29902917556,NA,NA,52.5989402930262,NA,NA,NA,NA,NA
"9","LA","LA67","early",0.663153159989969,155,"100",18.6,16.5,7.5,"600037","700288","darter goby","Ctenogobius boleosoma","",23,23,NA,23,23,28,28,NA,28,28,NA,NA,NA,NA,NA,"6/6/2018","thalassia",29.89764,-88.84137,29.89768,-88.84151,35.22,1,0.186,NA,3,410.170212765957,123.688657283604,17.852919894598,2.51553866936846,1.8516401995451,1.89583333333333,1.58771324027147,0.0252932291666667,0.00380491172061645,1.43130398144737,0.215313958486219,0.0310778929730755,15.3333333333333,19.2959408512084,867.689171052253,1091.92688620815,630.424281687666,157.651577256968,63.596594414417,0.222615828950785,0.209508066951747,0,0,429.3,124.291153545509,27.1225533016987,4.44842592592593,0.935062826644319,2.80952380952381,1.83354977077383,0.0217123333333333,0.00648153428852562,1.22866672901806,0.36677981177984,0.0800379167077511,6.66666666666667,5.85946527708232,377.256161327066,331.577906679196,191.436593678567,140.118597159292,39.6841643623011,0.0777858227499144,0.0851891501416356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,117.758495056173,23.0943409301056,1,0,1.23076923076923,0.86291099460801,0.005143,0,0.291034265655765,0,0,26,NA,1471.29902917556,NA,NA,52.5989402930262,NA,NA,NA,NA,NA
"10","LA","LA67","early",0.663153159989969,155,"100",18.6,16.5,7.5,"600037","700289","lined seahorse","Hippocampus erectus","",NA,NA,NA,NA,NA,17.5,17.5,3.53553390593274,20,15,NA,NA,NA,NA,NA,"6/6/2018","thalassia",29.89764,-88.84137,29.89768,-88.84151,35.22,2,0.0551,NA,3,410.170212765957,123.688657283604,17.852919894598,2.51553866936846,1.8516401995451,1.89583333333333,1.58771324027147,0.0252932291666667,0.00380491172061645,1.43130398144737,0.215313958486219,0.0310778929730755,15.3333333333333,19.2959408512084,867.689171052253,1091.92688620815,630.424281687666,157.651577256968,63.596594414417,0.222615828950785,0.209508066951747,0,0,429.3,124.291153545509,27.1225533016987,4.44842592592593,0.935062826644319,2.80952380952381,1.83354977077383,0.0217123333333333,0.00648153428852562,1.22866672901806,0.36677981177984,0.0800379167077511,6.66666666666667,5.85946527708232,377.256161327066,331.577906679196,191.436593678567,140.118597159292,39.6841643623011,0.0777858227499144,0.0851891501416356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,389,117.758495056173,23.0943409301056,1,0,1.23076923076923,0.86291099460801,0.005143,0,0.291034265655765,0,0,26,NA,1471.29902917556,NA,NA,52.5989402930262,NA,NA,NA,NA,NA
