,site,station,sample_period,species_common,species_abundance,light_attenuation_av,depth,secchi,temp,salinity,do,pull_id,station_seagrass_richness,station_leaf_mlength,station_sd_mcanopy,station_se_mcanopy,station_leaf_width,station_leaf_sd_width,station_lps,station_lps_sd,station_la,station_la_sd,station_lai,station_lai_sd,station_lai_se,station_shoots,station_sd_shoots,station_shoots_m,station_sd_shoots_m,station_se_shoots_m,station_above_wt_m,station_sd_above_wt_m,station_ep_wt_gg,station_sd_ep_wt_gg,station_below_wt_m,station_sd_below_wt_m,tt_stationsp_leaf_mlength,tt_stationsp_sd_mcanopy,tt_stationsp_se_mcanopy,tt_stationsp_leaf_width,tt_stationsp_leaf_sd_width,tt_stationsp_lps,tt_stationsp_lps_sd,tt_stationsp_la,tt_stationsp_la_sd,tt_stationsp_lai,tt_stationsp_lai_sd,tt_stationsp_lai_se,tt_stationsp_shoots,tt_stationsp_sd_shoots,tt_stationsp_shoots_m,tt_stationsp_sd_shoots_m,tt_stationsp_se_shoots_m,tt_station_above_wt_m,tt_station_sd_above_wt_m,tt_station_ep_wt_gg,tt_station_sd_ep_wt_gg,tt_station_below_wt_m,tt_station_sd_below_wt_m,hd_stationsp_leaf_mlength,hd_stationsp_sd_mcanopy,hd_stationsp_se_mcanopy,hd_stationsp_leaf_width,hd_stationsp_leaf_sd_width,hd_stationsp_lps,hd_stationsp_lps_sd,hd_stationsp_la,hd_stationsp_la_sd,hd_stationsp_lai,hd_stationsp_lai_sd,hd_stationsp_lai_se,hd_stationsp_shoots,hd_stationsp_sd_shoots,hd_stationsp_shoots_m,hd_stationsp_sd_shoots_m,hd_stationsp_se_shoots_m,hd_station_above_wt_m,hd_station_sd_above_wt_m,he_stationsp_leaf_mlength,he_stationsp_sd_mcanopy,he_stationsp_se_mcanopy,he_stationsp_leaf_width,he_stationsp_leaf_sd_width,he_stationsp_lps,he_stationsp_lps_sd,he_stationsp_la,he_stationsp_la_sd,he_stationsp_lai,he_stationsp_lai_sd,he_stationsp_lai_se,he_stationsp_shoots,he_stationsp_sd_shoots,he_stationsp_shoots_m,he_stationsp_sd_shoots_m,he_stationsp_se_shoots_m,he_station_above_wt_m,he_station_sd_above_wt_m,he_station_ep_wt_gg,he_station_below_wt_m,hw_stationsp_leaf_mlength,hw_stationsp_sd_mcanopy,hw_stationsp_se_mcanopy,hw_stationsp_leaf_width,hw_stationsp_leaf_sd_width,hw_stationsp_lps,hw_stationsp_lps_sd,hw_stationsp_la,hw_stationsp_la_sd,hw_stationsp_lai,hw_stationsp_lai_sd,hw_stationsp_lai_se,hw_stationsp_shoots,hw_stationsp_sd_shoots,hw_stationsp_shoots_m,hw_stationsp_sd_shoots_m,hw_stationsp_se_shoots_m,hw_station_above_wt_m,hw_station_sd_above_wt_m,hw_station_ep_wt_gg,hw_station_sd_ep_wt_gg,hw_station_below_wt_m,hw_station_sd_below_wt_m,rm_stationsp_leaf_mlength,rm_stationsp_sd_mcanopy,rm_stationsp_se_mcanopy,rm_stationsp_leaf_width,rm_stationsp_leaf_sd_width,rm_stationsp_lps,rm_stationsp_lps_sd,rm_stationsp_la,rm_stationsp_la_sd,rm_stationsp_lai,rm_stationsp_lai_sd,rm_stationsp_lai_se,rm_stationsp_shoots,rm_stationsp_shoots_m,rm_station_above_wt_m,sf_stationsp_leaf_mlength,sf_stationsp_sd_mcanopy,sf_stationsp_se_mcanopy,sf_stationsp_leaf_width,sf_stationsp_leaf_sd_width,sf_stationsp_lps,sf_stationsp_lps_sd,sf_stationsp_la,sf_stationsp_la_sd,sf_stationsp_lai,sf_stationsp_lai_sd,sf_stationsp_lai_se,sf_stationsp_shoots,sf_stationsp_sd_shoots,sf_stationsp_shoots_m,sf_stationsp_sd_shoots_m,sf_stationsp_se_shoots_m,sf_station_above_wt_m,sf_station_sd_above_wt_m,sf_station_ep_wt_gg,sf_station_sd_ep_wt_gg,sf_station_below_wt_m,sf_station_sd_below_wt_m,pa,type
1,AP,3943,early,blue crab,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
2,AP,3943,early,brown shrimp,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
3,AP,3943,early,gray snapper,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
4,AP,3943,early,pink shrimp,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
5,AP,3943,early,red drum,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
6,AP,3943,early,spotted seatrout,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
7,AP,3943,early,white shrimp,0,1.339833887,40,40,28.7,22.01,7.11,600219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
8,AP,3943,late,blue crab,1,0.573914344,70,70,30.7,32.3,7.1,600263,1,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.067260296,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.106949111,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sled
9,AP,3943,late,brown shrimp,0,0.573914344,70,70,30.7,32.3,7.1,600263,1,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.067260296,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.106949111,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
10,AP,3943,late,gray snapper,0,0.573914344,70,70,30.7,32.3,7.1,600263,1,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.067260296,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,43.46307973,3.699823047,1,0,2.572463768,1.03858186,0.020609,0,1.166230834,0,0,138,0,7809.202539,0,0,35.58845998,0,0.106949111,0,119.6618818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sled
